Dam Name,NID ID,Owner Names,Primary Owner Type,Primary Purpose,Purposes,Latitude,Longitude,State,County,City,River or Stream Name,Congressional District,Federal Agency Owners,Federal Agency Involvement Regulatory,Federal Agency Involvement Inspection,Federal Agency Involvement Operation,Primary Dam Type,NID Height (Ft),Dam Length (Ft),Year Completed,NID Storage (Acre-Ft),Max Storage (Acre-Ft),Drainage Area (Sq Miles),Number of Locks,Last Inspection Date,Inspection Frequency,Hazard Potential Classification,Condition Assessment,Condition Assessment Date,EAP Prepared,EAP Last Revision Date,Data Last Updated,Website URL
Jellystone Park Dam,MO31503,JELLYSTONE PARK,Private,Recreation,Recreation,38.11350042,-91.36439256,Missouri,Crawford,Cuba,Tr-Little Bourbeuse River,"Missouri, Congressional District 03",,,,,Earth,27,,1976,87,87,80,0,,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Lake Thunderhead Dam,MO10007,WILDFLOWER POA,Private,Recreation,Recreation,40.52954926,-93.01934121,Missouri,Putnam,Martinstown,North Blackbird Creek,"Missouri, Congressional District 06",,,,,Earth,54,1400,1965,28690,28690,25.8,,07/15/2021,3,High,Satisfactory,12/19/2007,Yes,06/06/2011,05/03/2023,https://damsafety.org/missouri
Pine Lake Dam,MO30447,MO STATE HWY COMMISSION,State,Recreation,Recreation,38.40954791,-90.50171193,Missouri,Jefferson,Imperial,Tr-Rock Creek,"Missouri, Congressional District 08",,,,,Earth,33,,1961,106,106,154,0,10/31/1978,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Johnmeyer Lake Dam,MO10478,J H JOHNMEYER,Private,"Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond;Recreation",39.12722222,-92.64055556,Missouri,Howard,New Franklin,Tr-Doe Creek,"Missouri, Congressional District 04",,,,,Earth,32,,1952,103,103,32,0,,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Stokes #2 Dam,MO30079,E.T.STOKES,Private,Recreation,Recreation,36.65669255,-91.88454281,Missouri,Howell,Lanton,Tr Spring Creek,"Missouri, Congressional District 08",,,,,Earth,33,,1970,1059,1059,1015,0,,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Sexton Lake Dam,MO20033,ARNOLD BARROS,Private,Irrigation,Irrigation;Recreation,38.65887702,-93.61817127,Missouri,Johnson,Burtville,Tr-Coperas Creek,"Missouri, Congressional District 04",,,,,Earth,48,569,1968,838,838,0.31,,11/06/2019,5,High,Satisfactory,08/31/2010,Yes,04/07/2011,05/03/2023,https://damsafety.org/missouri
Leadwood Tailings Dam,MO30274,THE DOE RUN COMPANY,Private,Tailings,Tailings,37.86474107,-90.59962317,Missouri,St. Francois,Leadwood,Eaton Branch,"Missouri, Congressional District 08",,,,,Other,58,1775,1925,1400,1400,3.38,,06/09/2022,2,High,Satisfactory,10/08/2010,Yes,01/24/2020,05/03/2023,https://damsafety.org/missouri
Sky Lake Dam,TN15716,Sky Lake H.o.a.,Private,,,35.203611,-89.969444,Tennessee,Shelby,Memphis,Trib-Wolf River,"Tennessee, Congressional District 09",,,,,Earth,17,595,1958,317,317,0.65,,12/11/2025,1,High,Satisfactory,12/11/2025,Yes,,01/28/2026,https://damsafety.org/tennessee
Dierberg Lake Dam,MO31840,ROBERT DIERBERG,Private,Recreation,Recreation,38.6389069,-90.60527854,Missouri,St. Louis,Chesterfield,Tr Caulks Creek,"Missouri, Congressional District 02",,,,,Earth,68,370,1982,60,60,0.02,,01/18/2023,2,High,Satisfactory,12/21/2007,Yes,03/22/2011,05/03/2023,https://damsafety.org/missouri
Von Der Ahe,MO31077,RUSSELL VON DER AHE,Private,Recreation,Recreation,38.3610188,-90.75222939,Missouri,Franklin,Pacific,Tr Caluey Creek,"Missouri, Congressional District 02",,,,,Earth,34,,1977,364,364,292,0,05/22/1980,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Lake Bronson,MN00017,MNDNR-Parks,State,Flood Risk Reduction,Flood Risk Reduction,48.72301,-96.63422,Minnesota,Kittson,Lake Bronson,Two Rivers South Branch,"Minnesota, Congressional District 07",,,,,Gravity,38,2000,1937,6000,6000,540,,10/01/2024,1,High,Poor,10/01/2024,Yes,02/13/2024,01/08/2025,https://damsafety.org/minnesota
Pogue Lake Dam,MO30127,DR. K. DIAMOND,Private,Recreation,Recreation,37.45751779,-90.23980167,Missouri,Madison,Marquand,Tr To Greasy Creek,"Missouri, Congressional District 08",,,,,Earth,18,,1974,125,125,1600,0,02/25/1981,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Blue Spring Lake,WI00145,Blue Spring Lake Management District,Local Government,Recreation,Recreation,42.85755,-88.60837,Wisconsin,Jefferson,None,Spring Creek,"Wisconsin, Congressional District 05",,,,,Gravity,15,600,1928,900,900,1.9,,04/05/2021,2,High,Fair,06/14/2021,Yes,,09/16/2022,https://damsafety.org/wisconsin
Luther #4 Dam,TN04308,Ridglea/Wilson Property Development LLC,Private,,,36.033333,-87.269722,Tennessee,Dickson,Gentry Park,Trib-Beaver Dam Creek,"Tennessee, Congressional District 07",,,,,Earth,25,228,1950,20,20,0.1,,11/02/2020,5,High,,,Not Required,,10/24/2024,https://damsafety.org/tennessee
Casey Lake Dam,MO31005,DOROTHY WATSON & MELBA CASEY,Private,Tailings,Tailings,38.06813162,-90.74955985,Missouri,Washington,Morse Mill,Tr-Old Mines Creek,"Missouri, Congressional District 03",,,,,Other,57,1550,1957,120,120,0.16,,06/09/2022,2,High,Satisfactory,07/15/2015,Yes,12/26/2017,05/03/2023,https://damsafety.org/missouri
Lake Lockloma Dam,MO30256,LOCKLOMA REC AREA,Private,Recreation,Recreation,36.81781134,-90.42573055,Missouri,Butler,Poplar Bluff,Tr-Black River,"Missouri, Congressional District 08",,,,,Earth,15,,1956,209,209,160,0,,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Lake Waterloo Dam,TN03728,"Jackson, Stonewall",Private,"Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond",36.030833,-86.749444,Tennessee,Davidson,,,"Tennessee, Congressional District 05",,,,,Earth,18,235,,60,60,0.72,,05/14/2024,5,High,,,Not Required,,10/24/2024,https://damsafety.org/tennessee
Dogwood Estates Dam,TN01104,"Ryan, Robert, Et Al.",Private,,,35.153889,-84.743333,Tennessee,Bradley,Benton Station,Gatlin Branch,"Tennessee, Congressional District 03",,,,,Earth,29,175,1969,38,38,0.07,,06/24/2026,1,High,Fair,06/24/2026,Yes,02/12/2024,08/05/2026,https://damsafety.org/tennessee
Simmons Lake Dam,MO11012,D D SIMMONS,Private,Flood Risk Reduction,Flood Risk Reduction;Irrigation;Recreation,39.62648325,-94.12395816,Missouri,Caldwell,Dawn,Tub Creek,"Missouri, Congressional District 06",,,,,Earth,30,,1977,883,883,716,0,,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Shelbina Lake Dam,MO10057,CITY OF SHELBINA,Local Government,Recreation,Recreation;Water Supply,39.72591891,-92.04443394,Missouri,Shelby,Florida,Tr To Salt River,"Missouri, Congressional District 06",,,,,Earth,28,,1935,749,749,1510,0,,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Bisbee Lake Dam,MO11236,GLENN J BISBEE,Private,Recreation,Recreation,39.37528465,-94.1171319,Missouri,Ray,Hardin,Tr To Rocky Fork,"Missouri, Congressional District 06",,,,,Earth,30,,1968,80,80,150,0,,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Lake Champetra Dam,MO30880,LAKE CHAMPETRA HOA,Private,Recreation,Recreation,38.685121,-92.231354,Missouri,Boone,Cedar City,"Tr,To Cedar Creek","Missouri, Congressional District 03",,,,,Earth,60,600,1970,1530,1530,0.93,,05/25/2022,2,High,Satisfactory,12/21/2007,Yes,12/05/2011,05/03/2023,https://damsafety.org/missouri
Lake Aspen Dam,MO31714,INNSBROOK OWNERS ASSOCIATION,Private,Recreation,Recreation,38.7574889,-91.04075528,Missouri,Warren,Innsbrook,Trib Charrette Creek,"Missouri, Congressional District 02",,,,,Earth,53,650,1979,4540,4540,7.46,,11/17/2022,3,High,Satisfactory,12/21/2007,Yes,08/11/2010,05/03/2023,https://damsafety.org/missouri
Poinsett Wid Site 121,AR01463,Poinsett Watershed Improvement District,Local Government,Recreation,Recreation,35.7173482,-90.6650544,Arkansas,Craighead,None,Viney Slough-Tr,"Arkansas, Congressional District 01",,,Natural Resources Conservation Service,,Earth,16,848,1985,56,56,0.1,,,,High,Not Rated,,Yes,,01/07/2026,https://damsafety.org/arkansas
Spring Lake Dam,MO31193,SUMMERSET POA,Private,Recreation,Recreation,38.09794334,-90.57527821,Missouri,Jefferson,Desoto,Tr-Falling Rock Branch,"Missouri, Congressional District 08",,,,,Earth,42,600,1976,178,178,0.13,,08/16/2022,2,High,Satisfactory,12/21/2007,Yes,07/17/2012,05/03/2023,https://damsafety.org/missouri
Virden Creek Dam,IA01972,City of Waterloo,Local Government,Flood Risk Reduction,Flood Risk Reduction,42.5458,-92.3121,Iowa,Black Hawk,Waterloo,Virden Creek,"Iowa, Congressional District 02",,,,,Earth,39,3040,1979,8300,8300,8.53,0,08/01/2023,2,High,Satisfactory,08/07/2023,Yes,12/30/2025,03/06/2025,https://damsafety.org/iowa
Dunlap Lake Dam,MO30168,PAUL D DUNLAP,Private,Recreation,Recreation,37.73630881,-92.47441094,Missouri,Laclede,Stoutland,Tr-Similin Creek,"Missouri, Congressional District 04",,,,,Earth,25,,1960,107,107,80,0,,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Little Mulberry Creek Site 1,AR01123,City of Mulberry,Local Government,Water Supply,Water Supply;Flood Risk Reduction,35.543333333,-94.0758333333333,Arkansas,Crawford,Mulberry,Rock Creek,"Arkansas, Congressional District 03",,,Natural Resources Conservation Service,,Earth,120,1577,1975,14350,14350,22,,12/30/2024,1,High,Fair,12/30/2024,Yes,12/17/2014,01/29/2025,https://damsafety.org/arkansas
Robins Lake Dam,MS00104,ADAMS COUNTY BOARD OF SUPERVISORS,Local Government,Recreation,Recreation,31.43201436,-91.40459956,Mississippi,Adams,Natchez,Robins Bayou,"Mississippi, Congressional District 02",,,,,Earth,32,400,1973,886,886,1.56,,02/28/2023,5,High,Unsatisfactory,04/06/2022,No,,05/31/2023,https://damsafety.org/mississippi
Mirror Lake #1,MO31709,LARRY SHYROCK,Private,Recreation,Recreation,38.275,-93.51916667,Missouri,Benton,Warsaw,Tr-South Grand River,"Missouri, Congressional District 04",,,,,Earth,32,,,51,51,60,0,,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
New Viburnum Tailings Dam,MO31231,,Private,Other,Other;Tailings,37.70508,-91.10693,Missouri,Iron,Viburnum,Tr-Indian Cr,"Missouri, Congressional District 08",,,,,Other,170,3000,1981,6750,6750,1.2,,04/14/2022,2,High,Satisfactory,12/21/2007,Yes,05/01/2018,05/03/2023,https://damsafety.org/missouri
Palazzo Lake Dam,MO10761,FRANK PALAZZO,Private,Recreation,Recreation,38.83672284,-91.02313034,Missouri,Warren,Chain of Rocks,Tr Indian Camp Creek,"Missouri, Congressional District 03",,,,,Earth,25,,1960,94,94,140,0,,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Long Creek Reservoir Dam,MS02676,CITY OF MERIDIAN,Local Government,Flood Risk Reduction,Flood Risk Reduction,32.3250741,-88.62404993,Mississippi,Lauderdale,Meridian,Long Creek,"Mississippi, Congressional District 03",,,,,Earth,30,1493,1962,4576,4576,4.6,,04/12/2022,5,High,Satisfactory,05/13/2020,Yes,06/22/2012,05/31/2023,https://damsafety.org/mississippi
Mershon Lake Dam,MO20129,JERRY MERSHON,Private,Recreation,Recreation,39.09933706,-94.21307768,Missouri,Jackson,Buckner,Tr-Fire Prairie Creek,"Missouri, Congressional District 06",,,,,Earth,25,,1945,134,134,70,0,,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Lawson Lake Dam,MO10494,E LAWSON,Private,Recreation,Recreation,38.71187438,-90.93681892,Missouri,St. Charles,St Peters,Tr Dardenne Creek,"Missouri, Congressional District 02",,,,,Earth,25,,1970,134,134,110,0,,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Keane Lake Dam,MO31763,JOHN KEANE,Private,Recreation,Recreation,38.64572617,-92.65394442,Missouri,Moniteau,Clarksburg,Tr-North Moreau Creek,"Missouri, Congressional District 03",,,,,Earth,25,,1976,54,54,190,0,,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Long View Lake Dam,MO31497,,Private,Recreation,Recreation,38.50254898,-90.83323328,Missouri,Franklin,Labadie,Tr To Labadie Creek,"Missouri, Congressional District 02",,,,,Earth,36,730,1957,80,80,0.07,,11/18/2021,2,High,Satisfactory,10/28/2008,Yes,04/24/2012,05/03/2023,https://damsafety.org/missouri
"Schultehenrich,Robert Dam",MO30294,ROBERT SCHULTEHENRICH,Private,Recreation,Recreation,38.6075,-90.95333333,Missouri,St. Charles,Dutzow,Tr Lake Creek,"Missouri, Congressional District 02",,,,,Earth,30,,1964,96,96,288,0,10/24/1978,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Spring Valley Lake No 1 Dam,AR00114,Spring Valley Manor Suburban Improvement District,Private,Recreation,Recreation,34.729444444,-92.4394444444444,Arkansas,Pulaski,Little Rock,Payne Branch,"Arkansas, Congressional District 02",,,,,Earth,27,715,1965,296,296,0.9,,08/02/2026,1,High,Fair,08/02/2026,Yes,07/03/2013,08/21/2026,https://damsafety.org/arkansas
Craddock Lake Dam,MS03046,MARGARET CRADDOCK,Private,Recreation,Recreation,34.77727773,-88.22079659,Mississippi,Tishomingo, Iuka (Not Downstream),Little Cripple Deer Creek,"Mississippi, Congressional District 01",,,,,Earth,25,1400,1980,310,310,0.47,,05/10/2023,5,High,Unsatisfactory,06/25/2021,Yes,05/29/2009,05/31/2023,https://damsafety.org/mississippi
Poinsett Wid Site 113,AR01436,Poinsett Watershed Improvement District,Local Government,Flood Risk Reduction,Flood Risk Reduction,35.6102283,-90.6808053,Arkansas,Poinsett,Greenfield,Big Creek - Tr,"Arkansas, Congressional District 01",,,Natural Resources Conservation Service,,Earth,25,1000,1981,198,198,0.5,,04/01/2024,1,High,Poor,04/01/2024,Yes,12/16/2014,02/26/2026,https://damsafety.org/arkansas
Lake Kal-Tatri,MO31039,MR. JOHN KALICAK,Private,Recreation,Recreation,37.79425689,-90.24316582,Missouri,Ste. Genevieve,River Aux Vases,River Aux Vases,"Missouri, Congressional District 08",,,,,Earth,26,,1966,139,139,1798,0,09/01/1978,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Kesterson Dam,MO20016,JOHN KESTERSON,Private,Flood Risk Reduction,"Flood Risk Reduction;Fire Protection, Stock, Or Small Fish Pond;Recreation;Debris Control",38.72344604,-94.03214086,Missouri,Johnson,Holden,Tr-West Pin Oak Creek,"Missouri, Congressional District 04",,,,,Earth,25,,1949,254,254,76,0,,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Brown Lake Dam,MO11517,AUBREY BROWN,Private,Irrigation,Irrigation,39.39743939,-92.65364937,Missouri,Randolph,Forest Green,Tr-Sweet Spring Creek,"Missouri, Congressional District 06",,,,,Earth,12,,1977,96,96,590,0,,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
West Lake Dam,IL55084,MAX MCGRAW WILDLIFE FOUNDATION,Private,Fish and Wildlife Pond,Fish and Wildlife Pond,42.08234,-88.27084,Illinois,Kane,East Dundee,Trib Fox River,"Illinois, Congressional District 08",,,,,Earth,35,,1951,110,110,0.88,0,10/24/2022,1,High,Not Available,,Yes,03/31/1995,11/14/2023,https://damsafety.org/illinois
Massey South Dam,MS00071,DALE COLE,Private,Recreation,Recreation,34.55011938,-89.93080419,Mississippi,Panola, Senatobia,Unt of West Creek,"Mississippi, Congressional District 02",,,,,Earth,20,750,2007,220,220,0.23,,04/28/2023,5,High,Fair,06/10/2020,Yes,10/20/2007,05/31/2023,https://damsafety.org/mississippi
Weil Lake Dam,MO11588,GARY WEIL,Private,Recreation,Recreation,39.04760664,-92.33641587,Missouri,Boone,Mcbaine,Tr-Rocky Fork Creek,"Missouri, Congressional District 04",,,,,Earth,25,,,40,40,20,0,,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Emert Lake Dam,MO10951,STEVE+KARLA EMERT,Private,Other,Other,39.07302839,-90.90619143,Missouri,Lincoln,Moscow Mills,Tr-Little Sugar Creek,"Missouri, Congressional District 06",,,,,Earth,25,,1966,94,94,95,0,,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Muddy Fork Site 3,AR01101,Arkansas Game and Fish Commission,State,Flood Risk Reduction,Flood Risk Reduction;Recreation,35.9709836,-94.3523596,Arkansas,Washington,Prarie Grove,Budd Kidd Creek,"Arkansas, Congressional District 03",,,Natural Resources Conservation Service,,Earth,50,2825,1975,4767,4767,3.9,,07/22/2025,1,High,Fair,07/22/2025,Yes,12/17/2014,02/10/2026,https://damsafety.org/arkansas
Harper Lake Dam,MO20053,RAYMOND HARPER,Private,Recreation,Recreation;Water Supply,38.71465757,-94.47076725,Missouri,Cass,Perculiar,Tr-Wolf Creek Branch,"Missouri, Congressional District 04",,,,,Earth,25,,1960,468,468,260,0,,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Etuchee Dam,MO30327,ROBERT VAN CAMP,Private,Irrigation,Irrigation;Recreation,36.74022363,-92.74262323,Missouri,Ozark,Pontiac,Tr-Pond Fork,"Missouri, Congressional District 08",,,,,Earth,55,800,1970,275,275,0.42,,01/28/2022,3,High,Not Rated,12/21/2007,Yes,11/14/2014,05/03/2023,https://damsafety.org/missouri
Yellowsmoke Park Dam,IA02014,Crawford County Conservation Board,Local Government,Recreation,Recreation,42.0224,-95.3253,Iowa,Crawford,Denison,Mud Creek,"Iowa, Congressional District 04",,,,,Earth,59,940,1980,1680,1680,2.42,0,04/24/2023,2,High,Satisfactory,05/03/2023,Yes,01/05/2011,03/06/2025,https://damsafety.org/iowa
Vanwinkle Lake Dam,IL00143,WALLJASPER,Private,Recreation,Recreation,40.54987,-90.04719,Illinois,Fulton,Canton,Trib Big Creek,"Illinois, Congressional District 17",,,,,Earth,20,300,1900,178,178,4.4,0,09/09/2025,1,High,Not Available,,No,,12/31/2025,https://damsafety.org/illinois
Lakewood Lake No. 1 Dam,AR00099,Lakewood Property Owners Association,Local Government,Recreation,Recreation,34.783333333,-92.24,Arkansas,Pulaski,North Little Rock,Arkansas River-Tr,"Arkansas, Congressional District 02",,,,,Earth,29,900,1925,840,840,2.1,,03/13/2026,1,High,Fair,03/13/2026,Yes,10/12/2022,05/06/2026,https://damsafety.org/arkansas
Lottes Dam,MO30309,DR. J. OTTO LOTTES,Private,Recreation,Recreation,37.07925076,-90.32457838,Missouri,Wayne,Shook,Tr. To West Fork Lost Creek,"Missouri, Congressional District 08",,,,,Earth,34,,1967,364,364,478,0,05/17/1979,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Gwenmil Lake Dam,MO31210,GWEN MILL LAKE SUBD INC,Private,Recreation,Recreation,38.34066366,-90.59909045,Missouri,Jefferson,Cedar Hill,Tr To Isum Creek,"Missouri, Congressional District 03",,,,,Earth,29,,1957,47,47,16,0,11/07/1980,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Hermitage Hills Lake Dam,MO10662,UNK,Private,Recreation,Recreation,38.47967999,-90.451696,Missouri,Jefferson,Arnold,Tr To Saline Creek,"Missouri, Congressional District 08",,,,,Earth,22,,1964,59,59,150,0,,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Hamilton City Water Plant Dam,MO10261,CITY OF HAMILTON,Local Government,Water Supply,Water Supply;Recreation,39.74303142,-94.03453177,Missouri,Caldwell,Hamilton,Tom Creek,"Missouri, Congressional District 06",,,,,Earth,40,1300,1954,1013,1013,2.01,,03/29/2022,3,High,Satisfactory,12/19/2007,Yes,05/22/2015,05/03/2023,https://damsafety.org/missouri
Lost Creek #2,MO10216,,Local Government,Flood Risk Reduction,Flood Risk Reduction,39.13083135,-90.8409459,Missouri,Lincoln,New Hope,Tr-Lost Creek,"Missouri, Congressional District 06",,,Natural Resources Conservation Service,,Earth,44,760,1957,675,675,1.65,,01/12/2023,2,High,Satisfactory,12/19/2007,Yes,08/28/2014,05/03/2023,https://damsafety.org/missouri
Lake Scheffborg Dam,MO31442,ASPENHOF CORP.,Private,Recreation,Recreation,38.78555556,-91.05805556,Missouri,Warren,Marthasville,Trib Charrette Creek,"Missouri, Congressional District 02",,,,,Earth,29,,1973,155,155,560,0,07/01/1980,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Spring Glen Lake Dam,MO30698,SPRING GLEN CORP,Private,Recreation,Recreation,37.77839067,-90.75858994,Missouri,Washington,Leadwood,Goose Creek,"Missouri, Congressional District 03",,,,,Earth,33,,1933,194,194,1976,0,,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Sylvan Lake Dam,MO30273,PHYLLIS SCHNEBELEN,Private,Recreation,Recreation,37.69193962,-90.52676957,Missouri,St. Francois,Syenite,Tr Allen Branch,"Missouri, Congressional District 08",,,,,Earth,30,,1958,209,209,600,0,,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Snow Hollow Lake Dam,MO30337,"RUNGE PROPERTIES, INC",Private,Recreation,Recreation,37.62527517,-90.68634997,Missouri,Iron,Arcadia,Tr-Stouts Creek,"Missouri, Congressional District 08",,,,,Earth,41,530,1957,520,520,0.75,,08/12/2021,3,High,Satisfactory,10/13/2015,Yes,12/02/2015,05/03/2023,https://damsafety.org/missouri
Lakenan Lake Dam,MO31066,JAMES M LAKENAN,Private,"Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond;Recreation",37.82645767,-89.88948747,Missouri,Perry,Lithium,Tr-Spring Branch,"Missouri, Congressional District 08",,,,,Earth,30,,1966,128,128,190,0,12/19/1980,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Lake Camelot,WI00063,Adams County,Local Government,Recreation,Recreation,44.20451,-89.77512,Wisconsin,Adams,Lake Sherwood Subdiv,Fourteenmile&Spring Branch Cr,"Wisconsin, Congressional District 03",,,,,Earth,29,3250,1969,7500,7500,70,,07/08/2020,2,High,Fair,05/13/2020,Yes,01/01/2003,09/16/2022,https://damsafety.org/wisconsin
Multip Manor Lake Dam,MS02896,MARC WILSON,Private,Recreation,Recreation,32.27808512,-90.35392073,Mississippi,Hinds,Raymond,Unt of Smith Creek,"Mississippi, Congressional District 02",,,,,Earth,9,720,1961,77.5,77.5,0.08,,03/31/2023,5,High,Unsatisfactory,11/04/2020,No,,05/31/2023,https://damsafety.org/mississippi
Bell Lake Dam,MO10606,NATHANIEL WINER,Private,Recreation,Recreation,39.35416667,-94.59416667,Missouri,Clay,Smithville,Tributary To First Creek,"Missouri, Congressional District 06",,,,,Earth,34,,1951,109,109,106,0,09/26/1978,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Lac Renee Dam,MO30339,TERRE DU LAC POA,Private,Recreation,Recreation,37.91468879,-90.62279307,Missouri,St. Francois,Blackwell,Cabanne Course,"Missouri, Congressional District 08",,,,,Earth,36,560,1970,95,95,0.04,,12/06/2022,5,High,Satisfactory,12/21/2007,Yes,01/22/2014,05/03/2023,https://damsafety.org/missouri
Kemp Lake Dam,MO30035,MRS. FRED KEMP,Private,Flood Risk Reduction,Flood Risk Reduction;Recreation,38.12275133,-91.2943664,Missouri,Crawford,Champion City,Tributary of Little Bourbeuse,"Missouri, Congressional District 03",,,,,Rockfill,22,,1937,212,212,519,0,06/27/1979,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Eve Lake Dam,MO10245,EDWARD KIRCHOF,Private,Irrigation,"Irrigation;Fire Protection, Stock, Or Small Fish Pond;Recreation",38.84777778,-92.06055556,Missouri,Callaway,Mokane,Tr Davis Creek,"Missouri, Congressional District 03",,,,,Earth,21,,1968,112,112,140,0,,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Something Green B Dam,MO30719,OAK LAND DEV.,Private,Recreation,Recreation,38.05095834,-90.86972704,Missouri,Washington,Potosi,Rouge Creek,"Missouri, Congressional District 03",,,,,Earth,22,,1978,118,118,600,0,07/17/1980,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Lone Jack Lake Dam,MO20768,MO DEPT OF CONSERVATION,State,Flood Risk Reduction,Flood Risk Reduction,38.89448878,-94.19253186,Missouri,Jackson,Lonejack,Trib To The Sni-A-Bar,"Missouri, Congressional District 04",,,,,Earth,47,925,1990,660,660,0.86,,12/02/2020,2,High,Satisfactory,12/21/2007,Yes,10/09/2013,05/03/2023,https://damsafety.org/missouri
Pointdexter Lake Dam,MO10984,LARRY POINTDEXTER,Private,Irrigation,Irrigation,38.9970168,-91.5931292,Missouri,Montgomery,Mineola,Tr-Little Loutre Creek,"Missouri, Congressional District 03",,,,,Earth,30,,1975,177,177,28,0,,0,High,Not Rated,,Not Required,,04/02/2025,https://damsafety.org/missouri
Binder Community Lake Dam,MO30051,MO DEPT OF CONSERVATION,State,Recreation,Recreation,38.6022459,-92.30085625,Missouri,Cole,Jefferson City,Dickerson Cr,"Missouri, Congressional District 03",,,,,Earth,48,1200,1966,3312,3312,6.2,,02/08/2022,2,High,Satisfactory,12/21/2007,Yes,06/06/2012,05/03/2023,https://damsafety.org/missouri
Lake Lucern Dam,MO30519,ASPENHOF CORP.,Private,Recreation,Recreation,38.77501674,-91.05897997,Missouri,Warren,Marthasville,Trib Charrette Creek,"Missouri, Congressional District 02",,,,,Earth,30,,1971,674,674,1140,0,07/01/1980,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Dove Lake Dam,MO30494,MARVIN TALKEN,Private,Recreation,Recreation,38.50305556,-92.09805556,Missouri,Cole,Taos,Tr-Rising Creek,"Missouri, Congressional District 03",,,,,Earth,31,,1969,332,332,50,0,07/16/1980,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Rogers Lake Dam,MO10370,CITY OF FAYETTE,Local Government,Water Supply,Water Supply;Recreation,39.154633,-92.709028,Missouri,Howard,Fayette,Tr Adams Fork,"Missouri, Congressional District 04",,,,,Earth,45,1350,1970,4400,4400,3.92,,07/29/2021,2,High,Satisfactory,12/19/2007,Yes,12/12/2011,05/03/2023,https://damsafety.org/missouri
Dearborn Reservoir Dam,MO10426,CITY OF DEARBORN,Local Government,Water Supply,Water Supply,39.5325,-94.76805556,Missouri,Buchanan,Dearborn @,Tr-Bee Creek,"Missouri, Congressional District 06",,,,,Earth,28,,1959,180,180,370,0,,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
Rubydo Lake Dam,MO20193,DICK G MONSEES,Private,Recreation,Recreation,38.70390647,-93.11752699,Missouri,Pettis,Redbird,Tr-Little Shaver Creek,"Missouri, Congressional District 04",,,,,Earth,20,,1963,86,86,65,0,,0,High,Not Rated,,Not Required,,05/25/2018,https://damsafety.org/missouri
